Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
31/12/2018;EUCATEX;EUCA4;109.15;804.13;0.14;7.37;2.29;4.22;1.32
30/06/2018;EUCATEX;EUCA4;75.39;685.80;0.11;9.10;1.84;3.07;1.10
31/12/2017;EUCATEX;EUCA4;82.46;701.48;0.12;8.51;3.39;3.43;2.06
30/06/2017;EUCATEX;EUCA4;89.20;622.20;0.14;6.98;2.04;3.78;1.23
31/12/2016;EUCATEX;EUCA4;76.57;583.59;0.13;7.62;2.80;3.27;1.67
30/06/2016;EUCATEX;EUCA4;78.10;513.29;0.15;6.57;1.61;3.44;0.96
31/12/2015;EUCATEX;EUCA4;102.15;563.28;0.18;5.51;0.90;4.53;0.52
30/06/2015;EUCATEX;EUCA4;111.77;558.62;0.20;5.00;1.90;5.06;1.12
31/12/2014;EUCATEX;EUCA4;103.70;538.13;0.19;5.19;2.36;4.84;1.41
30/06/2014;EUCATEX;EUCA4;107.33;626.07;0.17;5.83;5.06;5.08;3.06
31/12/2013;EUCATEX;EUCA4;145.18;829.06;0.18;5.71;7.80;7.00;4.66
30/06/2013;EUCATEX;EUCA4;181.66;767.50;0.24;4.22;9.32;9.12;5.69
31/12/2012;EUCATEX;EUCA4;172.77;934.06;0.18;5.41;8.27;8.99;4.97
30/06/2012;EUCATEX;EUCA4;165.96;891.93;0.19;5.37;7.56;8.33;4.41
31/12/2011;EUCATEX;EUCA4;156.61;808.31;0.19;5.16;8.84;8.40;5.14
30/06/2011;EUCATEX;EUCA4;;864.00;;;;;
31/12/2010;EUCATEX;EUCA4;168.53;814.62;0.21;4.83;12.81;10.13;7.45
30/06/2010;EUCATEX;EUCA4;;708.54;;;;;
31/12/2009;EUCATEX;EUCA4;;584.49;;;;;
31/12/2020;METISA;MTSA3;70.25;213.55;0.33;3.04;20.50;15.37;16.06
30/06/2020;METISA;MTSA3;49.34;126.84;0.39;2.57;14.66;10.31;10.41
31/12/2019;METISA;MTSA3;17.25;168.23;0.10;9.75;7.45;4.07;5.83
30/06/2019;METISA;MTSA3;13.28;117.89;0.11;8.88;7.24;3.39;5.72
31/12/2018;METISA;MTSA3;16.33;99.11;0.16;6.07;7.08;4.28;5.83
30/06/2018;METISA;MTSA3;15.77;83.39;0.19;5.29;7.36;4.08;5.69
31/12/2017;METISA;MTSA3;7.57;111.84;0.07;14.78;5.98;2.03;4.83
30/06/2017;METISA;MTSA3;4.54;94.67;0.05;20.88;5.71;1.05;3.89
31/12/2016;METISA;MTSA3;2.68;62.47;0.04;23.27;6.35;0.61;4.24
30/06/2016;METISA;MTSA3;1.86;78.32;0.02;42.13;5.49;0.37;3.10
31/12/2015;METISA;MTSA3;10.85;57.91;0.19;5.34;8.18;1.85;3.99
30/06/2015;METISA;MTSA3;19.44;73.13;0.27;3.76;11.12;3.47;5.42
31/12/2014;METISA;MTSA3;18.99;112.21;0.17;5.91;10.36;3.33;4.89
30/06/2014;METISA;MTSA3;22.72;136.13;0.17;5.99;12.13;4.92;6.65
31/12/2013;METISA;MTSA3;25.57;142.03;0.18;5.55;12.35;5.38;6.48
30/06/2013;METISA;MTSA3;23.77;169.83;0.14;7.15;11.09;5.80;6.52
31/12/2012;METISA;MTSA3;24.74;171.47;0.14;6.93;12.49;7.17;8.51
30/06/2012;METISA;MTSA3;21.36;;;;11.42;5.47;6.56
31/12/2011;METISA;MTSA3;18.94;;;;10.69;4.95;6.20
30/06/2011;METISA;MTSA3;;;;;;;
31/12/2010;METISA;MTSA3;25.08;222.21;0.11;8.86;12.67;7.63;7.68
30/06/2010;METISA;MTSA3;;243.41;;;;;
31/12/2009;METISA;MTSA3;;241.20;;;;;
31/12/2020;SANSUY;SNSY6;-50.59;214.94;-0.24;-4.25;10.19;2.66;-35.19
30/06/2020;SANSUY;SNSY6;-86.16;112.19;-0.77;-1.30;13.28;4.61;-50.22
31/12/2019;SANSUY;SNSY6;-100.94;102.29;-0.99;-1.01;14.93;5.84;-48.81
30/06/2019;SANSUY;SNSY6;-88.37;93.40;-0.95;-1.06;14.76;5.50;-43.68
31/12/2018;SANSUY;SNSY6;-81.18;;;;14.80;5.53;-41.98
30/06/2018;SANSUY;SNSY6;-82.59;;;;15.80;6.03;-40.61
31/12/2017;SANSUY;SNSY6;-84.44;67.94;-1.24;-0.80;18.23;6.72;-42.19
30/06/2017;SANSUY;SNSY6;-74.48;;;;19.46;6.48;-40.86
31/12/2016;SANSUY;SNSY6;-60.32;;;;19.19;5.95;-34.56
30/06/2016;SANSUY;SNSY6;-66.13;62.61;-1.06;-0.95;22.19;7.33;-35.54
31/12/2015;SANSUY;SNSY6;-58.35;63.23;-0.92;-1.08;23.46;7.35;-32.59
30/06/2015;SANSUY;SNSY6;-44.60;62.89;-0.71;-1.41;22.69;6.47;-26.45
31/12/2014;SANSUY;SNSY6;-42.50;67.16;-0.63;-1.58;23.27;7.15;-24.25
30/06/2014;SANSUY;SNSY6;-31.96;;;;21.67;6.34;-19.45
31/12/2013;SANSUY;SNSY6;-20.19;58.85;-0.34;-2.92;18.96;4.55;-15.67
30/06/2013;SANSUY;SNSY6;0.28;59.52;0.00;211.83;13.49;-0.07;-10.46
31/12/2012;SANSUY;SNSY6;-1.35;103.12;-0.01;-76.50;17.79;0.37;-12.68
